playerName,team_name,fpl_minutes,fpl_goals,fpl_assits,fpl_cs,fpl_points,fpl_bonus,fpl_cprice
Aaron Ramsey,Arsenal,2007,6,6,10,116,13,8.8
Abou Diaby,Arsenal,0,0,0,0,0,0,4.7
Ainsley Maitland-Niles,Arsenal,1,0,0,0,1,0,4.4
Alex Oxlade Chamberlain,Arsenal,1491,1,2,7,57,3,6.2
Alexis Sánchez,Arsenal,2944,16,8,12,207,29,11.6
Calum Chambers,Arsenal,1572,1,1,7,68,8,4.5
Chuba Akpom,Arsenal,30,0,1,0,6,0,4.8
David Ospina,Arsenal,1620,0,0,8,76,0,5.0
Emiliano Martínez,Arsenal,302,0,0,2,14,0,4.5
Francis Coquelin,Arsenal,1661,0,0,8,45,1,4.5
Gabriel Paulista,Arsenal,350,0,1,1,16,0,5.1
Héctor Bellerín,Arsenal,1563,2,1,7,77,5,4.8
Jack Wilshere,Arsenal,729,2,1,1,36,4,6.3
Joel Campbell,Arsenal,41,0,0,0,4,0,5.0
Kieran Gibbs,Arsenal,1660,0,5,6,76,9,5.2
Laurent Koscielny,Arsenal,2287,3,0,11,120,15,6.1
Lukas Podolski,Arsenal,106,0,0,0,7,0,7.2
Mathieu Debuchy,Arsenal,805,1,1,0,23,0,5.2
Mathieu Flamini,Arsenal,1461,1,2,4,51,0,4.8
Matt Macey,Arsenal,0,0,0,0,0,0,4.0
Mesut Özil,Arsenal,1857,4,6,9,103,13,9.0
Mikel Arteta,Arsenal,447,0,1,3,19,2,5.2
Nacho Monreal,Arsenal,2311,0,2,9,92,6,4.9
Olivier Giroud,Arsenal,1861,14,3,10,120,16,8.7
Per Mertesacker,Arsenal,3150,0,1,12,121,12,6.1
Santi Cazorla,Arsenal,2990,7,11,12,168,23,8.4
Semi Ajayi,Arsenal,0,0,0,0,0,0,4.0
Theo Walcott,Arsenal,447,5,1,2,51,3,8.2
Tomas Rosicky,Arsenal,583,2,1,1,36,3,4.6
Wojciech Szczesny,Arsenal,1498,0,0,3,47,0,5.2
Yaya Sanogo,"Arsenal,Crystal Palace",458,0,1,0,19,0,4.7
Alan Hutton,Aston Villa,2420,1,0,6,70,5,4.3
Aly Cissokho,Aston Villa,2129,0,0,7,70,7,4.4
Andre Green,Aston Villa,0,0,0,0,0,0,4.5
Andreas Weimann,Aston Villa,1775,3,2,9,69,7,5.1
Ashley Westwood,Aston Villa,2149,0,1,6,55,0,4.7
Brad Guzan,Aston Villa,3060,0,0,9,112,3,4.6
Callum Robinson,Aston Villa,0,0,0,0,0,0,4.3
Carles Gil,Aston Villa,359,0,1,0,12,2,4.2
Carlos Sánchez,Aston Villa,1988,1,0,6,52,0,4.4
Charles N'Zogbia,Aston Villa,1422,0,3,10,58,0,5.2
Chris Herd,Aston Villa,0,0,0,0,0,0,4.0
Christian Benteke,Aston Villa,2378,13,2,7,127,18,8.0
Ciaran Clark,Aston Villa,1992,1,2,4,60,5,4.2
Darren Bent,Aston Villa,83,0,0,0,7,0,4.6
Fabian Delph,Aston Villa,2433,0,4,6,69,1,4.8
Gabriel Agbonlahor,Aston Villa,2693,6,1,8,93,12,5.0
Jack Grealish,Aston Villa,822,0,1,2,31,2,4.3
Jed Steer,Aston Villa,90,0,0,0,2,0,4.0
Joe Cole,Aston Villa,284,1,1,1,25,2,5.3
Jores Okore,Aston Villa,2010,1,0,4,58,8,4.2
Karim El Ahmadi,Aston Villa,0,0,0,0,0,0,4.4
Kieran Richardson,Aston Villa,1344,0,1,6,40,0,4.9
Leandro Bacuna,Aston Villa,983,0,5,4,48,1,5.0
Lewis Kinsella,Aston Villa,0,0,0,0,0,0,4.0
Matthew Lowton,Aston Villa,756,0,1,2,26,0,4.0
Nathan Baker,Aston Villa,764,0,0,3,29,3,4.3
Philippe Senderos,Aston Villa,633,0,0,3,22,0,4.3
Riccardo Calder,Aston Villa,0,0,0,0,0,0,4.5
Ron Vlaar,Aston Villa,1647,0,1,6,56,7,4.3
Rushian Hepburn-Murphy,Aston Villa,8,0,0,0,1,0,4.4
Shay Given,Aston Villa,270,0,0,1,7,0,4.0
Ashley Barnes,Burnley,2418,5,2,6,88,8,4.4
Ben Mee,Burnley,2888,2,1,9,93,2,4.5
Cameron Dummigan,Burnley,0,0,0,0,0,0,3.9
Daniel Lafferty,Burnley,17,0,0,0,1,0,3.9
Danny Ings,Burnley,3025,11,4,8,139,20,5.5
