player,team,position,minutes,goals,assits,cs,points,bonus,price
Aarons,Newcastle,MID,381,1,1,1,20,0,4.5
Abdi,Watford,MID,1975,2,0,7,71,3,4.7
Abeid,Newcastle,MID,0,0,0,0,0,0,4.5
Abraham,Chelsea,FWD,55,0,0,0,2,0,4.5
Adam,Stoke,MID,1043,1,1,8,42,2,5.5
Adebayor,Crystal Palace,FWD,619,1,1,0,24,1,5.5
Adelaide,Arsenal,MID,0,0,0,0,0,0,4.8
Adri�n,West Ham,GKP,2880,0,0,9,125,9,5.1
Afellay,Stoke,MID,2092,2,3,8,83,9,5.1
Afobe,Bournemouth,FWD,930,4,0,4,46,5,5.3
Agbonlahor,Aston Villa,FWD,1031,1,2,2,37,1,4.7
Ag�ero,Man City,FWD,2361,24,3,12,184,24,13.3
Aina,Chelsea,DEF,0,0,0,0,0,0,4
Akpom,Arsenal,FWD,0,0,0,0,0,0,5
Ak�,Watford,DEF,1874,1,1,7,73,7,4.4
Albrighton,Leicester,MID,2750,2,7,16,117,4,4.9
Alderweireld,Spurs,DEF,3420,4,3,13,166,16,6.4
Aleix Garc�a,Man City,MID,0,0,0,0,0,0,4.5
Alfei,Swansea,DEF,0,0,0,0,0,0,4
Allen,Liverpool,MID,736,2,1,1,42,2,4.9
Alli,Spurs,MID,2471,10,12,10,166,17,5.9
Allsop,Bournemouth,GKP,45,0,0,0,1,0,4.4
Amalfitano,West Ham,MID,0,0,0,0,0,0,4.6
Amartey,Leicester,MID,104,0,0,1,7,0,4.4
Amat,Swansea,DEF,463,0,0,1,17,0,4.4
Amavi,Aston Villa,DEF,837,0,2,2,32,5,4.8
Amelia,Chelsea,GKP,0,0,0,0,0,0,4.5
Ameobi,Newcastle,MID,0,0,0,0,0,0,5
Amrabat,Watford,MID,506,0,0,1,12,0,4.4
Andreu,Norwich,MID,0,0,0,0,0,0,4.2
Angelino,Man City,DEF,0,0,0,0,0,0,4
Angella,Watford,DEF,0,0,0,0,0,0,4.3
Anichebe,West Brom,FWD,369,0,0,1,13,0,4.5
Anita,Newcastle,MID,2103,1,3,7,67,2,4.2
Antonio,West Ham,MID,2057,8,7,7,126,12,5.3
Anya,Watford,MID,1686,0,2,6,57,0,4.1
Arlauskis,Watford,GKP,24,0,0,0,1,0,4.4
Armstrong,Newcastle,FWD,0,0,0,0,0,0,4.3
Arnautovic,Stoke,MID,2808,11,6,11,165,18,6.3
Arter,Bournemouth,MID,1662,1,0,4,42,1,4.7
Arteta,Arsenal,MID,169,0,1,0,10,0,4.7
Atsu,Chelsea,MID,0,0,0,0,0,0,5
Austin,Southampton,FWD,211,1,0,0,15,3,6.3
Ayew,Swansea,MID,2927,12,5,8,171,25,6.6
Ayew,Aston Villa,FWD,2349,7,0,4,86,13,5.4
Ayoze,Newcastle,FWD,2050,6,3,5,93,10,5.1
Azpilicueta,Chelsea,DEF,3199,2,5,8,124,15,5.8
Baba Rahman,Chelsea,DEF,1018,0,1,2,35,1,5.4
Bachmann,Stoke,GKP,0,0,0,0,0,0,4
Bacuna,Aston Villa,DEF,2417,1,0,5,61,3,4.7
Baines,Everton,DEF,1479,2,2,4,67,7,6
Baker,Aston Villa,DEF,0,0,0,0,0,0,4
Balotelli,Liverpool,FWD,0,0,0,0,0,0,6.9
Bamford,Norwich,FWD,362,0,0,2,15,0,5.3
Bannan,Crystal Palace,MID,0,0,0,0,0,0,4.4
Bardsley,Stoke,DEF,817,0,2,0,20,2,4.2
Barker,Man City,MID,0,0,0,0,0,0,4.5
Barkley,Everton,MID,3076,8,9,9,158,14,7.1
Barlaser,Newcastle,FWD,0,0,0,0,0,0,4.5
Barrow,Swansea,FWD,791,1,3,2,43,3,4.2
Barry,Everton,MID,2837,0,2,10,76,4,4.2
Bartley,Swansea,DEF,286,0,0,0,4,0,4.2
Bassong,Norwich,DEF,2790,1,0,4,64,2,4.2
Beadling,Sunderland,DEF,0,0,0,0,0,0,4
Begovic,Chelsea,GKP,1399,0,0,4,55,1,4.6
Behrami,Watford,MID,1278,0,1,5,37,2,4.2
Belkalem,Watford,DEF,0,0,0,0,0,0,4
Beller�n,Arsenal,DEF,3240,1,6,18,172,18,6.5
Benalouane,Leicester,DEF,68,0,0,0,3,0,4.2
Bennett,Aston Villa,DEF,0,0,0,0,0,0,4
Bentaleb,Spurs,MID,170,0,0,1,6,0,4.2
Benteke,Liverpool,FWD,1529,9,4,7,104,16,8
Berahino,West Brom,FWD,1747,4,0,7,68,9,5.8
Berghuis,Watford,MID,231,0,2,0,13,0,5.5
Bertrand,Southampton,DEF,2880,1,4,9,106,3,5.2
Besic,Everton,MID,558,0,0,1,15,0,4.4
Bigirimana,Newcastle,MID,0,0,0,0,0,0,4.5
Blackett,Man Utd,DEF,0,0,0,0,0,0,4.4
Blackman,Chelsea,GKP,0,0,0,0,0,0,4.5
Blind,Man Utd,MID,3114,1,1,15,95,4,5.2
Boateng,Crystal Palace,MID,19,0,0,0,1,0,4.5
Bogdan,Liverpool,GKP,180,0,0,0,3,0,4.2
Bojan,Stoke,FWD,1697,7,2,9,94,17,4.7
Bolasie,Crystal Palace,MID,2075,5,3,7,96,9,6
Bond,Watford,GKP,0,0,0,0,0,0,4
Bony,Man City,FWD,1226,4,4,5,63,3,7.9
Borini,Sunderland,FWD,1890,5,3,5,77,8,5.4
Borthwick-Jackson,Man Utd,DEF,695,0,1,3,32,2,3.7
