player,team,position,minutes,goals,assits,cs,points,bonus,price
Akpom,Arsenal,FWD,0,0,0,0,0,0,5.1
Asano,Arsenal,FWD,0,0,0,0,0,0,4.9
Beller�n,Arsenal,DEF,2503,1,5,10,119,12,6.5
Campbell,Arsenal,Middlesbrough,0,0,0,0,0,0,5.9
Cazorla,Arsenal,Middlesbrough,618,2,2,4,38,5,7
Cech,Arsenal,GKP,3097,0,0,12,134,2,5.4
Chamberlain,Arsenal,Middlesbrough,1564,2,7,4,83,3,5.8
Coquelin,Arsenal,Middlesbrough,1779,0,1,5,52,1,4.2
Debuchy,Arsenal,DEF,15,0,0,0,1,0,4.6
Elneny,Arsenal,Middlesbrough,694,0,1,3,26,0,4.5
Gabriel,Arsenal,DEF,1517,0,0,5,45,2,4.8
Gibbs,Arsenal,DEF,702,0,1,6,45,3,4.7
Giroud,Arsenal,FWD,1206,12,5,4,116,17,8.1
Gnabry,Arsenal,Middlesbrough,0,0,0,0,0,0,5
Holding,Arsenal,DEF,810,0,0,4,32,3,4.1
�zil,Arsenal,Middlesbrough,2841,8,11,12,167,19,9.5
Iwobi,Arsenal,Middlesbrough,1456,3,5,9,89,8,5.3
Jenkinson,Arsenal,DEF,82,0,0,0,2,0,4.8
Koscielny,Arsenal,DEF,2821,2,1,10,121,19,6.1
Macey,Arsenal,GKP,0,0,0,0,0,0,4
Maitland-Niles,Arsenal,Middlesbrough,2,0,0,0,1,0,4.5
Martinez,Arsenal,GKP,180,0,0,1,8,0,3.9
Mertesacker,Arsenal,DEF,38,0,0,0,1,0,4.8
Monreal,Arsenal,DEF,3153,0,3,11,115,9,5.9
Mustafi,Arsenal,DEF,2274,2,2,8,90,8,5.8
Ospina,Arsenal,GKP,143,0,0,0,2,0,4.7
P�rez,Arsenal,FWD,272,1,1,1,20,0,7.8
Ramsey,Arsenal,Middlesbrough,1236,1,4,4,56,3,7.6
Reine-Adelaide,Arsenal,Middlesbrough,0,0,0,0,0,0,4.5
Sanogo,Arsenal,FWD,0,0,0,0,0,0,4.6
S�nchez,Arsenal,Middlesbrough,3217,24,11,13,264,32,11.7
Walcott,Arsenal,Middlesbrough,1916,10,3,8,122,7,7.2
Welbeck,Arsenal,FWD,748,2,2,3,37,0,7.3
Xhaka,Arsenal,Middlesbrough,2483,2,3,10,85,7,5.2
Afobe,Bournemouth,FWD,1458,6,5,5,88,9,5.3
Allsop,Bournemouth,GKP,90,0,0,0,3,0,4
Arter,Bournemouth,Middlesbrough,2956,1,4,9,84,6,5
Boruc,Bournemouth,GKP,3150,0,0,9,120,7,4.5
Callum Wilson,Bournemouth,FWD,1361,6,1,6,63,2,6
Cargill,Bournemouth,DEF,13,0,0,0,1,0,4
Daniels,Bournemouth,DEF,3060,4,3,10,134,14,5.2
Federici,Bournemouth,GKP,180,0,0,1,8,1,4.4
Francis,Bournemouth,DEF,2938,0,1,10,89,7,4.5
Fraser,Bournemouth,Middlesbrough,1764,3,9,7,100,8,4.6
Gosling,Bournemouth,Middlesbrough,1366,2,0,4,49,2,4.7
Grabban,Bournemouth,FWD,60,0,1,0,6,0,4.3
Gradel,Bournemouth,Middlesbrough,134,0,0,0,8,0,5
