playerName,team_name,fpl_minutes,fpl_goals,fpl_assits,fpl_cs,fpl_points,fpl_bonus,fpl_cprice,player_rating,touches,saves,total_pass,aerial_won,formation_place,accurate_pass,total_tackle,aerial_lost,fouls,yellow_card,total_scoring_att,man_of_the_match,goals,won_contest,blocked_scoring_att,goal_assist,good_high_claim,second_yellow,red_card,error_lead_to_goal,last_man_tackle,six_yard_block,post_scoring_att,att_pen_target,penalty_save,penalty_conceded,clearance_off_line,att_pen_goal,att_pen_miss,own_goals,att_pen_post
Petr Cech,Arsenal,3097,0,0,12,134,2,5.4,6.9397142857142855,35.08571428571429,3.3823529411764706,24.114285714285714,1.0,1.0,13.457142857142857,0,0,1.0,1.0,0,0,0,1.0,0,0,1.4736842105263157,0,0,1.0,0,0,0,0,0,1.0,0,0,0,1.0,0
Rob Holding,Arsenal,810,0,0,4,32,3,4.1,2.9890476190476187,65.66666666666667,0.0,51.666666666666664,4.5,2.238095238095238,42.666666666666664,1.5,2.111111111111111,1.4285714285714286,1.0,2.5,0,0,1.1666666666666667,2.0,0,0.0,0,0,0.0,0,0,0,0,0,1.0,0,0,0,0.0,0
Nacho Monreal,Arsenal,3153,0,3,11,115,9,5.9,6.787297297297297,71.52777777777777,0.0,48.69444444444444,1.9655172413793103,2.972972972972973,41.69444444444444,2.903225806451613,2.259259259259259,1.5,1.0,1.0909090909090908,0,0,1.1818181818181819,1.0,1.0,0.0,0,0,0.0,0,1.0,1.0,0,0,1.0,0,0,0,0.0,0
Héctor Bellerín,Arsenal,NA,NA,NA,NA,NA,NA,NA,6.614117647058823,62.696969696969695,0.0,42.18181818181818,1.55,1.588235294117647,35.72727272727273,1.3333333333333333,2.15,1.25,1.0,1.5714285714285714,0,1.0,2.0454545454545454,1.0,1.3333333333333333,0.0,0,0,0.0,1.0,1.0,1.0,0,0,0.0,0,0,0,0.0,0
Calum Chambers,"Arsenal,Middlesbrough",2250,2,1,7,83,7,4.3,6.098620689655172,64.64,0.0,44.64,3.380952380952381,3.8275862068965516,34.96,2.7222222222222223,2.5,1.7692307692307692,1.0,1.3333333333333333,1.0,1.0,1.4285714285714286,1.0,1.0,0.0,0,0,0.0,0,0,0,0,0,1.0,0,0,0,0.0,0
Alex Iwobi,Arsenal,1456,3,5,9,89,8,5.3,4.994571428571429,43.96153846153846,0.0,34.46153846153846,1.0,5.0285714285714285,30.192307692307693,1.2666666666666666,1.4285714285714286,1.1666666666666667,1.0,2.1666666666666665,1.0,1.0,1.8666666666666667,1.8888888888888888,1.5,0.0,0,0,0.0,0,2.0,0,0,0,0.0,0,0,0,0.0,0
Mohamed El Neny,Arsenal,NA,NA,NA,NA,NA,NA,NA,3.2667857142857137,50.357142857142854,0.0,44.0,1.25,1.7142857142857142,40.857142857142854,2.2,1.25,1.4285714285714286,1.0,1.875,0,0,1.0,1.25,1.0,0.0,0,0,0.0,0,1.0,0,0,0,0.0,0,0,0,0.0,0
Theo Walcott,Arsenal,1916,10,3,8,122,7,7.2,6.112499999999999,34.07142857142857,0.0,19.214285714285715,1.75,5.125,14.464285714285714,1.894736842105263,2.0526315789473686,1.5555555555555556,1.0,2.6956521739130435,1.0,1.1111111111111112,2.2777777777777777,1.2,1.0,0.0,0,0,0.0,0,0,1.5,1.0,0,0.0,0,0,0,0.0,0
Aaron Ramsey,Arsenal,1236,1,4,4,56,3,7.6,6.4375,50.69565217391305,0.0,40.0,1.1666666666666667,4.458333333333333,35.34782608695652,1.6153846153846154,1.25,1.5,1.0,2.1,1.0,1.0,1.6666666666666667,1.3,1.0,0.0,0,0,0.0,0,1.0,0,0,0,0.0,0,0,0,0.0,0
Francis Coquelin,Arsenal,1779,0,1,5,52,1,4.2,5.636571428571429,52.93103448275862,0.0,40.689655172413794,2.1176470588235294,4.285714285714286,35.724137931034484,3.0869565217391304,1.8888888888888888,1.736842105263158,1.0,1.4,1.0,0,1.3846153846153846,1.0,0,0.0,0,0,0.0,0,1.0,0,0,0,1.0,0,0,0,0.0,0
Alexis Sánchez,Arsenal,NA,NA,NA,NA,NA,NA,NA,7.755263157894738,65.0,0.0,43.23684210526316,1.1666666666666667,9.421052631578947,31.81578947368421,1.8928571428571428,2.04,1.8148148148148149,1.0,3.5833333333333335,1.0,1.411764705882353,3.272727272727273,1.6538461538461537,1.0,0.0,0,0,0.0,0,1.0,1.0,1.0,0,0.0,0,1.0,0,0.0,0
Chuba Akpom,Arsenal,0,0,0,0,0,0,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0
