match_id,date,home_team_name,away_team_name,winner,home_goal,away_goal,goal_difference,home_team_team_rating,home_team_att_goal_low_left,home_team_won_contest,home_team_possession_percentage,home_team_total_throws,home_team_att_miss_high_left,home_team_blocked_scoring_att,home_team_total_scoring_att,home_team_att_sv_low_left,home_team_total_tackle,home_team_att_miss_high_right,home_team_aerial_won,home_team_att_miss_right,home_team_att_sv_low_centre,home_team_aerial_lost,home_team_accurate_pass,home_team_total_pass,home_team_won_corners,home_team_shot_off_target,home_team_ontarget_scoring_att,home_team_goals,home_team_att_miss_left,home_team_fk_foul_lost,home_team_att_sv_low_right,home_team_att_goal_low_centre,home_team_total_offside,home_team_att_sv_high_left,home_team_att_goal_high_left,home_team_att_miss_high,home_team_att_goal_low_right,home_team_att_goal_high_right,home_team_att_sv_high_centre,home_team_att_post_high,home_team_post_scoring_att,home_team_att_sv_high_right,home_team_penalty_save,home_team_att_pen_goal,home_team_att_post_right,home_team_att_post_left,home_team_att_goal_high_centre,home_player_1_fpl_minutes,home_player_1_fpl_goals,home_player_1_fpl_assits,home_player_1_fpl_cs,home_player_1_fpl_points,home_player_1_fpl_bonus,home_player_1_fpl_cprice,home_player_2_fpl_minutes,home_player_2_fpl_goals,home_player_2_fpl_assits,home_player_2_fpl_cs,home_player_2_fpl_points,home_player_2_fpl_bonus,home_player_2_fpl_cprice,home_player_3_fpl_minutes,home_player_3_fpl_goals,home_player_3_fpl_assits,home_player_3_fpl_cs,home_player_3_fpl_points,home_player_3_fpl_bonus,home_player_3_fpl_cprice,home_player_4_fpl_minutes,home_player_4_fpl_goals,home_player_4_fpl_assits,home_player_4_fpl_cs,home_player_4_fpl_points,home_player_4_fpl_bonus,home_player_4_fpl_cprice,home_player_5_fpl_minutes,home_player_5_fpl_goals,home_player_5_fpl_assits,home_player_5_fpl_cs,home_player_5_fpl_points,home_player_5_fpl_bonus,home_player_5_fpl_cprice,home_player_6_fpl_minutes,home_player_6_fpl_goals,home_player_6_fpl_assits,home_player_6_fpl_cs,home_player_6_fpl_points,home_player_6_fpl_bonus,home_player_6_fpl_cprice,home_player_7_fpl_minutes,home_player_7_fpl_goals,home_player_7_fpl_assits,home_player_7_fpl_cs,home_player_7_fpl_points,home_player_7_fpl_bonus,home_player_7_fpl_cprice,home_player_8_fpl_minutes,home_player_8_fpl_goals,home_player_8_fpl_assits,home_player_8_fpl_cs,home_player_8_fpl_points,home_player_8_fpl_bonus,home_player_8_fpl_cprice,home_player_9_fpl_minutes,home_player_9_fpl_goals,home_player_9_fpl_assits,home_player_9_fpl_cs,home_player_9_fpl_points,home_player_9_fpl_bonus,home_player_9_fpl_cprice,home_player_10_fpl_minutes,home_player_10_fpl_goals,home_player_10_fpl_assits,home_player_10_fpl_cs,home_player_10_fpl_points,home_player_10_fpl_bonus,home_player_10_fpl_cprice,home_player_11_fpl_minutes,home_player_11_fpl_goals,home_player_11_fpl_assits,home_player_11_fpl_cs,home_player_11_fpl_points,home_player_11_fpl_bonus,home_player_11_fpl_cprice,away_team_team_rating,away_team_att_goal_low_left,away_team_won_contest,away_team_possession_percentage,away_team_total_throws,away_team_att_miss_high_left,away_team_blocked_scoring_att,away_team_total_scoring_att,away_team_att_sv_low_left,away_team_total_tackle,away_team_att_miss_high_right,away_team_aerial_won,away_team_att_miss_right,away_team_att_sv_low_centre,away_team_aerial_lost,away_team_accurate_pass,away_team_total_pass,away_team_won_corners,away_team_shot_off_target,away_team_ontarget_scoring_att,away_team_goals,away_team_att_miss_left,away_team_fk_foul_lost,away_team_att_sv_low_right,away_team_att_goal_low_centre,away_team_total_offside,away_team_att_sv_high_left,away_team_att_goal_high_left,away_team_att_miss_high,away_team_att_goal_low_right,away_team_att_goal_high_right,away_team_att_sv_high_centre,away_team_att_post_high,away_team_post_scoring_att,away_team_att_sv_high_right,away_team_penalty_save,away_team_att_pen_goal,away_team_att_post_right,away_team_att_post_left,away_team_att_goal_high_centre,away_player_1_fpl_minutes,away_player_1_fpl_goals,away_player_1_fpl_assits,away_player_1_fpl_cs,away_player_1_fpl_points,away_player_1_fpl_bonus,away_player_1_fpl_cprice,away_player_2_fpl_minutes,away_player_2_fpl_goals,away_player_2_fpl_assits,away_player_2_fpl_cs,away_player_2_fpl_points,away_player_2_fpl_bonus,away_player_2_fpl_cprice,away_player_3_fpl_minutes,away_player_3_fpl_goals,away_player_3_fpl_assits,away_player_3_fpl_cs,away_player_3_fpl_points,away_player_3_fpl_bonus,away_player_3_fpl_cprice,away_player_4_fpl_minutes,away_player_4_fpl_goals,away_player_4_fpl_assits,away_player_4_fpl_cs,away_player_4_fpl_points,away_player_4_fpl_bonus,away_player_4_fpl_cprice,away_player_5_fpl_minutes,away_player_5_fpl_goals,away_player_5_fpl_assits,away_player_5_fpl_cs,away_player_5_fpl_points,away_player_5_fpl_bonus,away_player_5_fpl_cprice,away_player_6_fpl_minutes,away_player_6_fpl_goals,away_player_6_fpl_assits,away_player_6_fpl_cs,away_player_6_fpl_points,away_player_6_fpl_bonus,away_player_6_fpl_cprice,away_player_7_fpl_minutes,away_player_7_fpl_goals,away_player_7_fpl_assits,away_player_7_fpl_cs,away_player_7_fpl_points,away_player_7_fpl_bonus,away_player_7_fpl_cprice,away_player_8_fpl_minutes,away_player_8_fpl_goals,away_player_8_fpl_assits,away_player_8_fpl_cs,away_player_8_fpl_points,away_player_8_fpl_bonus,away_player_8_fpl_cprice,away_player_9_fpl_minutes,away_player_9_fpl_goals,away_player_9_fpl_assits,away_player_9_fpl_cs,away_player_9_fpl_points,away_player_9_fpl_bonus,away_player_9_fpl_cprice,away_player_10_fpl_minutes,away_player_10_fpl_goals,away_player_10_fpl_assits,away_player_10_fpl_cs,away_player_10_fpl_points,away_player_10_fpl_bonus,away_player_10_fpl_cprice,away_player_11_fpl_minutes,away_player_11_fpl_goals,away_player_11_fpl_assits,away_player_11_fpl_cs,away_player_11_fpl_points,away_player_11_fpl_bonus,away_player_11_fpl_cprice
829513,16/08/2014 17:30:00,Arsenal,Crystal Palace,1,2,1,1,7.015,1.0,12.0,76.0,21.0,1.0,3.0,14.0,2.0,26.0,1.0,23.0,1.0,1.0,17.0,640.0,730.0,9.0,5.0,6.0,2.0,2.0,13.0,1.0,1.0,2.2068965517241383,1.0,1.1666666666666667,1.5833333333333333,1.5,1.2857142857142858,1.125,1.0,1.1111111111111112,1.0,0.0,1.0,1.0,1.0,1.0,1498,0,0,3,47,0,5.2,1572,1,1,7,68,8,4.5,805,1,1,0,23,0,5.2,1660,0,5,6,76,9,5.2,2287,3,0,11,120,15,6.1,447,0,1,3,19,2,5.2,2990,7,11,12,168,23,8.4,2944,16,8,12,207,29,11.6,2007,6,6,10,116,13,8.8,729,2,1,1,36,4,6.3,458,0,1,0,19,0,4.7,6.62857142857143,1.0,7.0,24.0,18.0,1.4,2.0,4.0,1.0,33.0,1.2857142857142858,17.0,1.7037037037037035,1.4782608695652173,23.0,127.0,222.0,3.0,4.75,2.0,1.0,1.5833333333333333,19.0,1.4705882352941178,1.125,1.0,1.0,1.0,1.4444444444444444,1.2857142857142858,1.0,1.1111111111111112,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3204,0,0,6,115,7,4.8,3330,1,0,7,90,0,4.7,2498,0,1,4,65,1,4.4,2920,2,4,6,105,7,4.9,1173,2,1,2,42,1,4.6,2571,2,1,5,81,4,5.2,2823,6,7,6,128,14,5.5,2771,4,12,6,132,8,5.6,2077,5,3,5,86,6,5.0,1149,2,2,2,45,4,5.2,1174,4,1,2,51,5,5.0
829514,18/08/2014 20:00:00,Burnley,Chelsea,-1,1,3,-2,6.29857142857143,1.0,3.0,38.6,35.0,1.0,1.0,9.0,1.181818181818182,12.0,1.0,27.0,3.0,1.4,20.0,288.0,413.0,4.0,6.0,2.0,1.0,2.0,6.0,1.8,1.1666666666666667,3.0,1.0,1.0,2.0,1.8,1.0,1.2,1.5,1.5714285714285714,1.0,1.0,1.0,1.0,1.0,1.0,3420,0,0,10,150,11,4.7,3415,0,4,10,118,11,4.8,3346,0,0,10,99,5,4.4,1807,0,0,8,62,4,3.9,2888,2,1,9,93,2,4.5,3202,2,2,9,91,2,4.7,565,0,1,3,21,0,4.7,1685,0,0,5,37,0,4.2,3204,0,0,10,82,0,4.5,981,0,3,3,43,0,4.4,3025,11,4,8,139,20,5.5,7.13428571428571,2.0,12.0,61.4,29.0,1.2,4.0,11.0,1.4375,19.0,1.0,20.0,1.0,2.1333333333333333,27.0,551.0,668.0,3.0,4.0,3.0,3.0,1.0,7.0,1.4117647058823528,1.0,1.0,1.25,1.0,1.0,1.1875,1.0,1.3333333333333333,1.0,1.1,1.25,0.0,1.0,1.0,1.0,1.0,2813,0,0,12,121,1,5.9,3420,5,0,17,177,14,7.1,2986,1,1,14,130,9,6.3,3420,4,6,17,179,13,7.7,2481,0,3,14,132,19,6.2,2021,6,8,14,126,12,7.9,3122,1,3,16,90,3,5.5,436,3,0,2,33,1,7.1,2481,0,3,14,132,19,6.2,3373,14,10,19,233,42,10.8,2069,20,3,12,150,18,10.6
829515,16/08/2014 15:00:00,Leicester,Everton,0,2,2,0,6.71428571428571,1.4545454545454546,6.0,36.7,12.0,1.3636363636363635,3.0,11.0,1.1666666666666667,13.0,1.3333333333333333,27.0,2.0,1.65,14.0,265.0,344.0,3.0,5.0,3.0,2.0,1.0,16.0,1.0,1.0,2.3076923076923075,1.25,2.0,2.0,2.0,1.0,1.2,1.0,1.1428571428571428,1.4,0.0,1.5,1.0,1.0,1.0,2160,0,0,6,83,6,4.5,937,0,0,1,13,0,3.9,3285,2,2,10,112,8,4.6,1883,0,1,3,44,1,4.3,2244,1,1,5,62,5,4.4,2079,4,5,6,102,9,4.9,335,0,0,1,13,0,5.0,1376,2,1,3,57,5,4.2,1488,0,0,2,39,0,5.0,2398,11,4,9,130,14,5.0,1711,5,2,3,70,4,4.9,6.61,1.3571428571428572,9.0,63.3,17.0,1.0,5.0,13.0,1.6666666666666667,19.0,1.375,14.0,1.0,1.0,27.0,509.0,605.0,6.0,5.0,3.0,2.0,2.0,10.0,1.3333333333333333,1.2,2.515151515151515,1.2857142857142858,1.0,1.0,1.0,1.0,1.1428571428571428,1.0,1.1666666666666667,1.0,0.0,1.0,1.0,1.0,1.0,2835,0,0,7,84,1,5.1,2773,2,9,9,139,21,7.1,2043,1,0,7,82,11,5.2,1080,0,1,0,20,1,5.2,3285,4,0,10,142,21,5.8,884,1,3,4,44,0,5.3,2057,7,3,6,98,16,4.7,2400,2,2,8,79,8,4.6,2822,0,2,9,66,0,4.7,317,0,2,0,18,1,5.7,2872,10,6,9,135,12,8.7
829516,17/08/2014 13:30:00,Liverpool,Southampton,1,2,1,1,7.28076923076923,1.0,15.0,56.1,22.0,2.0,2.0,12.0,1.0,16.0,1.4761904761904765,23.0,1.8,1.0,14.0,514.0,601.0,2.0,5.0,5.0,2.0,1.0,8.0,1.5769230769230769,1.2,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.1111111111111112,1.0,1.0,1.25,1.0,1.0,1.0,3225,0,0,14,149,6,5.4,2970,1,0,12,124,25,5.9,2037,0,0,6,66,5,4.9,759,0,0,2,22,1,4.4,1332,1,1,4,57,5,5.2,1313,0,0,7,37,0,4.3,3256,6,10,13,162,22,6.6,2792,5,7,11,134,15,7.9,3047,7,10,13,158,16,8.3,2236,9,1,5,114,20,8.6,752,4,3,3,46,2,11.1,6.76615384615385,1.2,10.0,43.9,27.0,1.0,2.0,12.0,2.0,35.0,1.0,14.0,2.0,1.0,23.0,345.0,450.0,6.0,4.0,6.0,1.0,2.1923076923076925,11.0,1.3333333333333333,1.1,2.0,0.0,1.0,1.6428571428571428,1.1428571428571428,1.0,2.0,1.25,1.375,1.0,0.0,1.0,1.0,1.25,1.25,2623,0,0,13,118,0,5.3,3330,0,1,15,139,16,5.8,3053,2,3,13,140,13,5.8,3146,2,2,13,142,15,5.9,1692,1,1,6,73,10,4.1,2186,4,2,11,90,12,5.5,2360,3,1,8,80,8,4.6,2637,0,2,11,79,2,4.7,3281,12,6,16,149,14,7.5,2057,4,9,9,117,13,7.4,1476,1,8,6,72,2,4.8
829517,16/08/2014 12:45:00,Manchester United,Swansea,-1,1,2,-1,6.70714285714286,1.0,13.0,59.6,29.0,1.1666666666666667,4.0,14.0,1.0,13.0,1.1428571428571428,20.0,1.0,3.0,10.0,482.0,558.0,4.0,5.0,5.0,1.0,2.0,14.0,1.4210526315789471,1.3,1.0,1.2,1.0,1.0,1.2727272727272727,1.5,1.2222222222222223,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,3313,0,0,11,138,3,5.8,1878,4,0,5,91,11,5.3,1876,0,1,6,73,9,5.0,653,0,0,2,16,2,3.9,1870,6,4,6,98,11,7.2,23,0,0,0,1,0,4.3,1719,1,0,9,55,0,4.5,2065,2,6,9,89,9,5.1,2872,12,5,11,132,15,10.6,45,0,0,0,1,0,5.9,2304,9,4,7,138,17,8.5,6.88642857142857,1.1,4.0,40.4,23.0,1.1666666666666667,1.0,5.0,1.0,19.0,1.2857142857142858,10.0,1.6521739130434785,1.88,20.0,307.0,383.0,4.441176470588236,4.513513513513512,4.0,2.0,1.6923076923076923,20.0,1.25,1.0,1.0,1.0,1.0,1.4782608695652173,1.0,1.0,1.1111111111111112,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,3307,0,0,13,151,9,5.3,3330,0,0,13,118,15,5.4,588,0,0,2,19,0,4.1,2998,0,3,13,109,4,4.8,2036,0,0,7,64,0,4.9,2449,3,6,11,99,10,5.2,2689,8,1,11,129,17,5.1,2309,3,1,10,81,1,5.4,2682,7,10,9,154,19,6.5,1862,3,2,8,85,5,5.2,1598,11,3,8,108,14,8.1
829518,17/08/2014 16:00:00,Newcastle United,Manchester City,-1,0,2,-2,6.47142857142857,1.2727272727272727,14.0,44.2,22.0,1.0,3.0,12.0,1.25,23.0,1.4117647058823528,14.0,1.0,1.55,16.0,382.0,460.0,3.0,9.0,3.864864864864865,1.6,3.0,8.0,1.35,1.0,1.5833333333333333,1.0,1.0,4.0,1.2857142857142858,1.0,1.1111111111111112,1.0,1.0,1.2,0.0,1.0,1.0,1.0,0.0,2700,0,1,8,99,5,4.4,2835,1,0,7,80,9,4.5,2419,1,1,5,58,2,4.3,3251,1,8,8,118,14,5.3,2107,0,0,6,58,3,4.1,1267,0,0,4,33,0,4.7,1968,2,1,2,67,4,6.0,3029,4,3,8,103,11,5.8,3128,4,7,7,114,8,4.7,1943,1,3,5,71,3,7.0,1209,1,2,3,46,1,6.7,7.20928571428572,1.3636363636363635,6.0,55.8,14.0,1.0,3.0,13.0,1.1764705882352942,29.0,1.0,16.0,1.8,1.0,14.0,511.0,593.0,3.0,5.0,5.0,2.0,1.0,11.0,1.5909090909090908,1.0,2.6,1.0,1.0,2.0,1.0,1.0,1.2222222222222223,1.25,1.1538461538461535,1.0,1.0,1.1666666666666667,1.0,1.0,1.0,3240,0,0,14,142,3,6.1,2562,1,0,9,84,1,5.9,2057,1,3,6,93,18,5.3,2034,0,0,7,66,5,6.4,1489,2,3,9,92,6,5.8,1879,2,2,9,67,3,4.8,2353,10,1,12,134,19,10.8,2646,12,12,12,191,28,9.8,1570,2,6,7,78,6,8.0,932,4,4,5,61,3,7.9,784,5,3,4,62,9,7.8
829519,16/08/2014 15:00:00,Queens Park Rangers,Hull,-1,0,1,-1,6.715,1.3333333333333333,8.0,51.0,22.0,1.1666666666666667,6.0,19.0,1.0,14.0,1.2941176470588236,30.0,5.0,3.0,15.0,296.0,383.0,8.0,7.0,6.0,1.6153846153846154,2.0,10.0,1.3529411764705883,1.25,2.6129032258064515,1.0,1.0,1.5769230769230769,1.0,1.0,1.0,1.5,1.4,1.0,1.0,1.0,1.3333333333333333,1.0,1.0,3183,0,0,6,114,7,4.5,990,0,0,2,19,1,4.2,3015,1,1,6,74,2,4.6,1870,0,0,5,41,2,4.2,91,0,0,0,3,0,4.2,853,0,2,2,27,0,5.0,2348,1,3,5,61,3,4.8,1252,0,0,2,25,0,4.1,786,0,0,1,22,0,4.3,3065,18,8,5,176,22,6.1,853,7,0,1,64,7,6.9,7.17642857142857,1.0,4.0,49.0,26.0,1.9090909090909087,4.0,11.0,1.3333333333333333,17.0,2.0,15.0,1.0,2.0,30.0,289.0,382.0,9.0,3.0,4.0,1.0,2.0434782608695654,10.0,1.0,1.1666666666666667,2.0,1.0,1.5,1.44,1.25,1.0,1.4444444444444444,1.1666666666666667,1.4285714285714286,1.2,1.0,1.0,1.5,0.0,1.0,2340,0,0,5,88,7,4.7,1868,2,0,8,82,8,4.3,1449,0,1,4,49,0,4.0,1812,0,0,4,47,5,4.7,3420,2,5,10,114,7,5.0,2539,0,3,9,70,4,5.3,3029,1,1,9,75,0,5.1,1526,0,2,3,45,4,4.2,301,0,0,1,9,0,5.0,1805,8,1,8,84,6,5.6,39,0,0,0,1,0,5.6
829520,16/08/2014 15:00:00,Stoke,Aston Villa,-1,0,1,-1,6.79923076923077,1.0833333333333333,9.0,63.1,36.0,1.2142857142857142,6.0,12.0,2.0,27.0,1.3,30.0,1.0,1.65,9.0,432.0,517.0,2.0,4.0,2.0,1.6551724137931034,2.0,14.0,1.1875,1.0,1.0,1.0,1.0,1.0,1.1666666666666667,1.0,1.2727272727272727,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,3150,0,0,7,106,3,4.8,2082,0,2,5,66,7,4.9,2562,0,2,7,84,8,4.6,2122,0,0,5,63,8,4.3,2831,2,1,6,92,8,5.3,1918,1,7,6,84,5,6.2,933,0,3,0,33,1,4.7,3375,3,2,9,111,8,4.9,2258,0,0,9,56,0,4.9,1203,4,1,3,59,13,4.9,2434,12,3,6,128,18,6.1,6.76769230769231,1.0,4.0,36.9,35.0,1.0,2.0,7.0,1.3125,19.0,1.2727272727272727,9.0,2.074074074074074,1.5416666666666667,30.0,197.0,289.0,8.0,4.0,1.0,1.0,1.0,9.0,1.2222222222222223,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.25,1.0,0.0,1.0,1.0,1.0,1.0,3060,0,0,9,112,3,4.6,2129,0,0,7,70,7,4.4,2420,1,0,6,70,5,4.3,633,0,0,3,22,0,4.3,1647,0,1,6,56,7,4.3,2433,0,4,6,69,1,4.8,2149,0,1,6,55,0,4.7,1775,3,2,9,69,7,5.1,1344,0,1,6,40,0,4.9,1422,0,3,10,58,0,5.2,2693,6,1,8,93,12,5.0
829521,16/08/2014 15:00:00,West Bromwich Albion,Sunderland,0,2,2,0,6.54857142857143,1.0,5.0,57.8,24.0,1.0,3.2424242424242418,10.0,1.0,18.0,1.0,16.0,1.0,1.0,15.0,349.0,439.0,6.0,5.0,5.0,2.0,2.0,18.0,1.3076923076923077,1.0,2.096774193548387,1.0,1.0,1.48,1.0,1.0,1.0,1.0,1.125,1.0,1.0,1.0,1.0,1.0,1.0,2485,0,0,11,98,3,4.5,1211,0,0,5,41,1,4.1,2590,2,0,12,99,3,4.5,825,1,0,3,32,2,4.6,1972,0,1,8,75,7,4.0,2892,2,10,14,128,13,5.2,2678,3,4,13,99,4,5.5,1587,1,3,6,57,5,4.7,899,0,0,3,25,0,4.6,1035,3,3,4,57,6,4.9,2925,14,1,13,148,21,5.6,6.87142857142857,1.1428571428571428,8.0,42.2,19.0,1.2142857142857142,3.0,7.0,1.2727272727272727,29.0,1.2307692307692308,15.0,2.0,1.5454545454545454,16.0,242.0,323.0,3.0,2.0,2.0,2.0,1.95,9.0,1.5,1.0,3.0,1.0,1.0,1.5555555555555556,1.0909090909090908,1.0,1.0,1.0,1.0,1.0,0.0,1.3333333333333333,1.0,0.0,0.0,900,0,0,2,31,2,4.1,2307,0,5,7,84,7,4.1,1992,0,0,8,63,4,4.3,90,0,0,0,0,0,4.0,3270,0,0,12,107,9,4.6,1483,3,0,2,55,4,4.7,2768,5,1,11,85,4,5.6,2079,4,3,11,98,5,5.9,2357,1,0,11,58,1,4.3,3052,3,4,12,105,6,5.3,1784,5,2,6,76,6,5.0
829522,16/08/2014 15:00:00,West Ham,Tottenham,-1,0,1,-1,6.65928571428572,1.0769230769230769,5.0,46.6,15.0,1.0,4.0,18.0,1.1875,17.0,1.0,15.0,1.0,2.0,12.0,344.0,414.0,8.0,10.0,4.0,1.6296296296296295,5.0,12.0,1.0,1.0,1.0,1.0,1.0,3.0,1.181818181818182,1.0,1.181818181818182,1.0,1.1111111111111112,1.2,1.0,1.0,1.0,1.0,1.0,3390,0,0,9,142,6,5.2,526,0,0,1,15,2,4.2,2502,1,0,3,61,9,4.8,3420,2,4,9,129,13,5.6,1881,0,0,5,54,3,4.4,2657,4,3,7,98,6,4.9,1749,1,1,5,62,4,6.2,3312,6,8,9,160,26,5.9,223,0,0,1,6,0,4.1,2302,2,5,7,89,12,5.3,912,2,0,2,36,0,4.6,6.92357142857143,1.2,9.0,53.4,16.0,1.0625,4.0,10.0,1.0,19.0,1.25,12.0,1.6206896551724137,2.05,15.0,386.0,482.0,5.0,2.0,4.0,1.0,2.458333333333333,10.0,1.0,1.0,2.264705882352941,1.0,1.0,2.0,1.3,1.0,1.0,1.0,1.1,1.0,1.0,1.0,1.0,1.0,1.0,3063,0,0,8,121,6,5.4,1179,0,1,3,34,2,4.0,2293,2,3,6,93,12,4.6,990,0,0,3,28,2,4.6,2367,3,5,6,103,10,4.8,897,0,0,3,23,0,4.8,2300,2,7,6,93,6,7.4,3132,10,4,9,162,25,7.9,2193,0,2,5,55,3,4.3,1347,2,3,6,62,4,6.2,813,2,2,3,40,6,7.9
