playerName,team_name,fpl_minutes,fpl_goals,fpl_assits,fpl_cs,fpl_points,fpl_bonus,fpl_cprice,player_rating,touches,saves,total_pass,aerial_won,formation_place,accurate_pass,total_tackle,aerial_lost,fouls,yellow_card,total_scoring_att,man_of_the_match,goals,won_contest,blocked_scoring_att,goal_assist,good_high_claim,second_yellow,red_card,error_lead_to_goal,last_man_tackle,six_yard_block,post_scoring_att,att_pen_target,penalty_save,penalty_conceded,clearance_off_line,att_pen_goal,att_pen_miss,own_goals,att_pen_post
Aaron Ramsey,Arsenal,2007,6,6,10,116,13,8.8,6.839,72.75862069,0,56.5862069,1.5,5.633333333,48.65517241,2.636363636,1.909090909,1.769230769,1,2.625,1,1,1.666666667,1.142857143,1.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Abou Diaby,Arsenal,0,0,0,0,0,0,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ainsley Maitland-Niles,Arsenal,1,0,0,0,1,0,4.4,1.4925,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alex Oxlade Chamberlain,Arsenal,1491,1,2,7,57,3,6.2,6.84875,50.04347826,0,30.7826087,1.142857143,5,25.04347826,1.857142857,1.777777778,1.166666667,1,2.666666667,1,1,4.15,1.571428571,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alexis Sánchez,Arsenal,2944,16,8,12,207,29,11.6,7.590833333,69.97142857,0,41.97142857,1.333333333,9.25,32.2,2.3,2.208333333,1.833333333,1,3.78125,1,1.333333333,3.59375,1.75,1.142857143,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
Calum Chambers,Arsenal,1572,1,1,7,68,8,4.5,6.204230769,60.26086957,0,38.39130435,2.9375,1.884615385,34.80952381,2.882352941,1.722222222,1.5625,1,1.4,0,1,1.538461538,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
Chuba Akpom,Arsenal,30,0,1,0,6,0,4.8,3.862,8.5,0,2.5,2,0,2,1,1,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
David Ospina,Arsenal,1620,0,0,8,76,0,5,5.519565217,35.22222222,2.764705882,26.77777778,1,0.782608696,15.38888889,1,0,0,0,0,0,0,0,0,0,2.714285714,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Emiliano Martínez,Arsenal,302,0,0,2,14,0,4.5,1.615625,30,1,20.25,0,0.1875,11,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Francis Coquelin,Arsenal,1661,0,0,8,45,1,4.5,5.871785714,62.5,0,47.57142857,3.375,3.571428571,40.9047619,3.789473684,1.823529412,2,1,1.25,0,0,1.833333333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gabriel Paulista,Arsenal,350,0,1,1,16,0,5.1,3.397692308,35,0,25.8,4.25,1.692307692,22.2,1,1.333333333,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Héctor Bellerín,Arsenal,1563,2,1,7,77,5,4.8,4.783333333,63,0,37.45,1.9,1.133333333,32.89473684,2.294117647,2.133333333,1.777777778,1,1,0,1,1.875,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Jack Wilshere,Arsenal,729,2,1,1,36,4,6.3,5.634705882,49.35714286,0,37.42857143,1,4.823529412,31.5,1.25,1.5,1.428571429,1,1.8,1,1,3.2,1.2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Joel Campbell,Arsenal,41,0,0,0,4,0,5,1.775714286,12.5,0,8.75,0,0,7.25,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kieran Gibbs,Arsenal,1660,0,5,6,76,9,5.2,4.438571429,63.72727273,0,40.36363636,2.214285714,1.542857143,34.57142857,2.444444444,2.555555556,1.545454545,1,1.3,1,0,2.142857143,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Laurent Koscielny,Arsenal,2287,3,0,11,120,15,6.1,6.651,57.74074074,0,42.81481481,4.095238095,5.2,38,1.888888889,2.666666667,1.357142857,1,1.333333333,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Lukas Podolski,Arsenal,106,0,0,0,7,0,7.2,2.766875,14.71428571,0,10.57142857,1.5,0,9.285714286,1,1,1,0,1.8,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Mathieu Debuchy,Arsenal,805,1,1,0,23,0,5.2,6.580909091,62.3,0,36.9,5,2.363636364,29.4,2.888888889,2.5,1.875,1,1.333333333,0,1,2,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
Mathieu Flamini,Arsenal,1461,1,2,4,51,0,4.8,4.8371875,46.69565217,0,37.56521739,1.833333333,2.125,34.30434783,2.933333333,1.25,1.4,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Matt Macey,Arsenal,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mesut Özil,Arsenal,1857,4,6,9,103,13,9,7.24826087,82.59090909,0,63.54545455,1,9.304347826,56.09090909,1.555555556,1.222222222,1.25,0,1.611111111,0,1,2.736842105,1,1.25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Mikel Arteta,Arsenal,447,0,1,3,19,2,5.2,5.88875,67.71428571,0,60,1.6,4,56.28571429,1.833333333,2,2.2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nacho Monreal,Arsenal,2311,0,2,9,92,6,4.9,6.2,66.21428571,0,44.53571429,3.038461538,2.909090909,39.51851852,2.954545455,2,1.411764706,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Olivier Giroud,Arsenal,1861,14,3,10,120,16,8.7,7.246296296,40.62962963,0,28.2962963,4.291666667,7,19.14814815,1.35,4,1.772727273,1,2.8,1,1.166666667,1.166666667,1.333333333,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0
Per Mertesacker,Arsenal,3150,0,1,12,121,12,6.1,6.684864865,62.11428571,0,50.74285714,3.393939394,4.837837838,45.31428571,1.588235294,1.916666667,1.142857143,1,1.3,0,0,1,1.5,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
Santi Cazorla,Arsenal,2990,7,11,12,168,23,8.4,7.401578947,85.48648649,0,63.97297297,1,7.447368421,57,2.107142857,1.444444444,1.111111111,1,2.735294118,1,1.166666667,2.806451613,1.842105263,1.222222222,0,0,0,0,0,1.5,1,0,0,0,0,1,0,0,0
Semi Ajayi,Arsenal,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Theo Walcott,Arsenal,447,5,1,2,51,3,8.2,3.7004,13.35714286,0,7.357142857,1,1.32,6.428571429,0,1,2,0,2.555555556,1,1.666666667,1.333333333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tomas Rosicky,Arsenal,583,2,1,1,36,3,4.6,3.338333333,35.33333333,0,29.73333333,2.25,1.333333333,25.6,1.111111111,2,1.166666667,1,1.428571429,0,1,2.75,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wojciech Szczesny,Arsenal,1498,0,0,3,47,0,5.2,3.228529412,32.17647059,3,22.76470588,1.666666667,0.5,14.17647059,0,0,0,1,0,0,0,0,0,0,2,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0
