teamName,team_rating,att_goal_low_left,won_contest,possession_percentage,total_throws,att_miss_high_left,blocked_scoring_att,total_scoring_att,att_sv_low_left,total_tackle,att_miss_high_right,aerial_won,att_miss_right,att_sv_low_centre,aerial_lost,accurate_pass,total_pass,won_corners,shot_off_target,ontarget_scoring_att,goals,att_miss_left,fk_foul_lost,att_sv_low_right,att_goal_low_centre,total_offside,att_sv_high_left,att_goal_high_left,att_miss_high,att_goal_low_right,att_goal_high_right,att_sv_high_centre,att_post_high,post_scoring_att,att_sv_high_right,penalty_save,att_pen_goal,att_post_right,att_post_left,att_goal_high_centre
Huddersfield,6.60602949681897,1.5,7.2368421052631575,45.6578947368421,24.394736842105264,1.2,3.6666666666666665,9.5,1.3529411764705883,19.5,1.1818181818181819,21.026315789473685,1.9047619047619047,1.4545454545454546,21.342105263157894,291.1578947368421,393.4736842105263,4.486486486486487,3.9444444444444446,3.2058823529411766,1.6470588235294117,1.9130434782608696,10.447368421052632,1.2307692307692308,1.0,2.392857142857143,1.0,1.0,1.6666666666666667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,0
Liverpool,6.992537593984963,1.45,11.605263157894736,60.76052631578948,23.57894736842105,1.1176470588235294,4.888888888888889,16.789473684210527,1.5909090909090908,16.736842105263158,1.3333333333333333,15.736842105263158,2.1785714285714284,2.125,17.342105263157894,506.05263157894734,604.2368421052631,6.078947368421052,6.026315789473684,6.131578947368421,2.7096774193548385,2.074074074074074,9.052631578947368,1.45,1.2,2.121212121212121,1.1,1.125,2.037037037037037,1.3333333333333333,1.0,1.0,1.0,1.1111111111111112,1.0,1.0,1.0,1.0,1.0,1.0
Brighton,6.686030460767303,1.25,7.7894736842105265,43.415789473684214,20.94736842105263,1.1764705882352942,2.75,10.105263157894736,1.125,15.68421052631579,1.1538461538461537,21.263157894736842,1.7407407407407407,1.4583333333333333,20.86842105263158,289.2631578947368,386.05263157894734,4.405405405405405,4.611111111111111,3.1315789473684212,1.619047619047619,1.52,10.868421052631579,1.0,1.3333333333333333,2.8,1.0,1.0,1.6666666666666667,1.0,1.0,1.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Bournemouth,6.654217755928283,1.25,9.026315789473685,48.11578947368421,22.55263157894737,1.3846153846153846,3.8,12.210526315789474,1.0952380952380953,13.342105263157896,1.2941176470588236,18.973684210526315,1.5714285714285714,1.5909090909090908,20.07894736842105,326.86842105263156,424.3157894736842,5.7368421052631575,4.552631578947368,4.157894736842105,1.7307692307692308,1.48,8.921052631578947,1.5,1.1428571428571428,2.08,1.0,1.0,1.72,1.1666666666666667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Chelsea,6.936291208791206,1.2222222222222223,13.447368421052632,55.68421052631579,19.68421052631579,1.0,4.942857142857143,15.947368421052632,1.4705882352941178,16.736842105263158,1.263157894736842,16.157894736842106,2.1379310344827585,2.3703703703703702,13.763157894736842,471.63157894736844,559.5263157894736,6.27027027027027,5.605263157894737,5.945945945945946,2.066666666666667,1.9375,9.552631578947368,1.6538461538461537,1.25,3.272727272727273,1.0,1.0,1.72,1.1428571428571428,1.0,1.2,1.0,1.0,1.1666666666666667,0.0,1.0,1.0,1.0,1.0
Leicester,6.735856950067476,1.0714285714285714,11.105263157894736,47.91315789473684,25.105263157894736,1.0,3.625,11.131578947368421,1.4166666666666667,16.605263157894736,1.0769230769230769,20.973684210526315,1.84375,1.631578947368421,20.0,298.6578947368421,400.0,5.342105263157895,4.27027027027027,4.027027027027027,1.8666666666666667,1.8148148148148149,9.578947368421053,1.7777777777777777,1.2,2.787878787878788,1.2,1.0,1.0588235294117647,1.1111111111111112,1.0,1.3529411764705883,1.5,1.5,1.0,1.0,1.0,1.0,1.0,1.2
Swansea,6.590258820127241,1.2222222222222223,8.31578947368421,45.05789473684211,21.710526315789473,1.2307692307692308,3.125,9.162162162162161,1.2857142857142858,16.05263157894737,1.4,18.44736842105263,1.4444444444444444,1.368421052631579,20.842105263157894,323.36842105263156,413.55263157894734,4.222222222222222,3.7777777777777777,3.121212121212121,1.4,1.6818181818181819,9.921052631578947,1.3571428571428572,1.3333333333333333,1.52,1.0,0.0,1.6818181818181819,1.125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
Crystal Palace,6.841271294494976,1.0,12.578947368421053,45.09473684210527,23.0,1.1538461538461537,3.5945945945945947,12.526315789473685,1.5,18.05263157894737,1.2666666666666666,20.13157894736842,1.9285714285714286,1.9545454545454546,18.894736842105264,285.13157894736844,378.05263157894734,5.526315789473684,5.052631578947368,4.194444444444445,1.875,2.0357142857142856,11.18421052631579,1.1538461538461537,1.0,1.9310344827586208,1.0,1.0,1.5357142857142858,1.25,1.0,1.0,1.0,1.3333333333333333,1.2857142857142858,0.0,1.0,1.0,1.0,1.0
Newcastle United,6.721583285135916,1.0769230769230769,8.026315789473685,41.61052631578948,22.026315789473685,1.1,3.4444444444444446,11.868421052631579,1.2352941176470589,16.94736842105263,1.2727272727272727,23.842105263157894,1.8076923076923077,1.6956521739130435,24.710526315789473,267.0263157894737,369.2105263157895,4.638888888888889,4.684210526315789,3.9210526315789473,1.625,1.90625,10.763157894736842,1.3043478260869565,1.1111111111111112,2.1724137931034484,1.0,1.0,1.565217391304348,1.0,1.0,1.2,1.0,1.2857142857142858,1.0,1.0,0.0,1.0,1.0,1.0
Manchester United,6.977445054945054,1.0769230769230769,12.263157894736842,54.75526315789473,21.289473684210527,1.0,4.54054054054054,13.473684210526315,1.6666666666666667,14.842105263157896,1.0909090909090908,16.57894736842105,1.3703703703703705,1.9259259259259258,13.447368421052632,441.1842105263158,528.0,5.7894736842105265,4.368421052631579,4.684210526315789,2.2666666666666666,1.7096774193548387,10.657894736842104,1.3636363636363635,1.1,2.6666666666666665,1.0,1.0,1.7692307692307692,1.5625,1.125,1.125,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
